sortNumber;code;officialTitle;mediumTitle;shortTitle;note
1;SK0101528595;Bratislava - mestská èas Staré Mesto;Bratislava-Staré Mesto;Bratislava-Staré Mesto;528595
2;SK0102529311;Bratislava - mestská èas Podunajské Biskupice;Bratislava-Podunajské Biskupice;Bratislava-Pod.Biskup.;529311
3;SK0102529320;Bratislava - mestská èas Ruinov;Bratislava-Ruinov;Bratislava-Ruinov;529320
4;SK0102529338;Bratislava - mestská èas Vrakuòa;Bratislava-Vrakuòa;Bratislava-Vrakuòa;529338
5;SK0103529346;Bratislava - mestská èas Nové Mesto;Bratislava-Nové Mesto;Bratislava-Nové Mesto;529346
6;SK0103529354;Bratislava - mestská èas Raèa;Bratislava-Raèa;Bratislava-Raèa;529354
7;SK0103529362;Bratislava - mestská èas Vajnory;Bratislava-Vajnory;Bratislava-Vajnory;529362
8;SK0104529371;Bratislava - mestská èas Devínska Nová Ves;Bratislava-Devínska Nová Ves;Bratislava-Dev.Nová Ves;529371
9;SK0104529389;Bratislava - mestská èas Dúbravka;Bratislava-Dúbravka;Bratislava-Dúbravka;529389
10;SK0104529397;Bratislava - mestská èas Karlova Ves;Bratislava-Karlova Ves;Bratislava-Karlova Ves;529397
11;SK0104529401;Bratislava - mestská èas Devín;Bratislava-Devín;Bratislava-Devín;529401
12;SK0104529419;Bratislava - mestská èas Lamaè;Bratislava-Lamaè;Bratislava-Lamaè;529419
13;SK0104529427;Bratislava - mestská èas Záhorská Bystrica;Bratislava-Záhorská Bystrica;Bratislava-Záhor.Bystr.;529427
14;SK0105529435;Bratislava - mestská èas Èunovo;Bratislava-Èunovo;Bratislava-Èunovo;529435
15;SK0105529443;Bratislava - mestská èas Jarovce;Bratislava-Jarovce;Bratislava-Jarovce;529443
16;SK0105529460;Bratislava - mestská èas Petralka;Bratislava-Petralka;Bratislava-Petralka;529460
17;SK0105529494;Bratislava - mestská èas Rusovce;Bratislava-Rusovce;Bratislava-Rusovce;529494
18;SK0106500267;Záhorie (vojenskı obvod);Záhorie;Záhorie (voj.obvod);500267
19;SK0106504556;Malé Leváre;Malé Leváre;Malé Leváre;504556
20;SK0106504629;Plavecké Podhradie;Plavecké Podhradie;Plavecké Podhradie;504629
21;SK0106504637;Plaveckı Mikuláš;Plaveckı Mikuláš;Plaveckı Mikuláš;504637
22;SK0106504769;Rohoník;Rohoník;Rohoník;504769
23;SK0106504858;Sološnica;Sološnica;Sološnica;504858
24;SK0106504874;Studienka;Studienka;Studienka;504874
25;SK0106504947;Ve¾ké Leváre;Ve¾ké Leváre;Ve¾ké Leváre;504947
26;SK0106504980;Závod;Závod;Závod;504980
27;SK0106507831;Borinka;Borinka;Borinka;507831
28;SK0106507890;Gajary;Gajary;Gajary;507890
29;SK0106507954;Jablonové;Jablonové;Jablonové;507954
30;SK0106507962;Jakubov;Jakubov;Jakubov;507962
31;SK0106508012;Kostolište;Kostolište;Kostolište;508012
32;SK0106508021;Kuchyòa;Kuchyòa;Kuchyòa;508021
33;SK0106508039;Láb;Láb;Láb;508039
34;SK0106508055;Lozorno;Lozorno;Lozorno;508055
35;SK0106508063;Malacky;Malacky;Malacky;508063
36;SK0106508080;Marianka;Marianka;Marianka;508080
37;SK0106508161;Pernek;Pernek;Pernek;508161
38;SK0106508195;Plaveckı Štvrtok;Plaveckı Štvrtok;Plaveckı Štvrtok;508195
39;SK0106508233;Stupava;Stupava;Stupava;508233
40;SK0106508241;Suchohrad;Suchohrad;Suchohrad;508241
41;SK0106508349;Vysoká pri Morave;Vysoká pri Morave;Vysoká pri Morave;508349
42;SK0106508365;Záhorská Ves;Záhorská Ves;Záhorská Ves;508365
43;SK0106508381;Zohor;Zohor;Zohor;508381
44;SK0107507806;Báhoò;Báhoò;Báhoò;507806
45;SK0107507849;Budmerice;Budmerice;Budmerice;507849
46;SK0107507857;Èastá;Èastá;Èastá;507857
47;SK0107507873;Do¾any;Do¾any;Do¾any;507873
48;SK0107507881;Dubová;Dubová;Dubová;507881
49;SK0107507946;Jablonec;Jablonec;Jablonec;507946
50;SK0107507989;Svätı Jur;Svätı Jur;Svätı Jur;507989
51;SK0107508047;Limbach;Limbach;Limbach;508047
52;SK0107508101;Modra;Modra;Modra;508101
53;SK0107508179;Pezinok;Pezinok;Pezinok;508179
54;SK0107508187;Píla;Píla;Píla;508187
55;SK0107508225;Slovenskı Grob;Slovenskı Grob;Slovenskı Grob;508225
56;SK0107508250;Šenkvice;Šenkvice;Šenkvice;508250
57;SK0107508268;Štefanová;Štefanová;Štefanová;508268
58;SK0107508306;Vinièné;Vinièné;Vinièné;508306
59;SK0107508314;Vinosady;Vinosady;Vinosady;508314
60;SK0107508322;Vištuk;Vištuk;Vištuk;508322
61;SK0108503681;Boldog;Boldog;Boldog;503681
62;SK0108503797;Hrubá Borša;Hrubá Borša;Hrubá Borša;503797
63;SK0108503801;Hrubı Šúr;Hrubı Šúr;Hrubı Šúr;503801
64;SK0108503819;Hurbanova Ves;Hurbanova Ves;Hurbanova Ves;503819
65;SK0108503851;Kostolná pri Dunaji;Kostolná pri Dunaji;Kostolná pri Dunaji;503851
66;SK0108503894;Krá¾ová pri Senci;Krá¾ová pri Senci;Krá¾ová pri Senci;503894
67;SK0108503983;Reca;Reca;Reca;503983
68;SK0108507814;Bernolákovo;Bernolákovo;Bernolákovo;507814
69;SK0108507822;Blatné;Blatné;Blatné;507822
70;SK0108507865;Èataj;Èataj;Èataj;507865
71;SK0108507903;Hamuliakovo;Hamuliakovo;Hamuliakovo;507903
72;SK0108507911;Chorvátsky Grob;Chorvátsky Grob;Chorvátsky Grob;507911
73;SK0108507938;Ivanka pri Dunaji;Ivanka pri Dunaji;Ivanka pri Dunaji;507938
74;SK0108507997;Kalinkovo;Kalinkovo;Kalinkovo;507997
75;SK0108508071;Malinovo;Malinovo;Malinovo;508071
76;SK0108508098;Miloslavov;Miloslavov;Miloslavov;508098
77;SK0108508110;Most pri Bratislave;Most pri Bratislave;Most pri Bratislave;508110
78;SK0108508136;Nová Dedinka;Nová Dedinka;Nová Dedinka;508136
79;SK0108508209;Rovinka;Rovinka;Rovinka;508209
80;SK0108508217;Senec;Senec;Senec;508217
81;SK0108508276;Tomášov;Tomášov;Tomášov;508276
82;SK0108508284;Tureò;Tureò;Tureò;508284
83;SK0108508292;Ve¾kı Biel;Ve¾kı Biel;Ve¾kı Biel;508292
84;SK0108508331;Vlky;Vlky;Vlky;508331
85;SK0108545333;Dunajská Luná;Dunajská Luná;Dunajská Luná;545333
86;SK0108555487;Igram;Igram;Igram;555487
87;SK0108555495;Kaplna;Kaplna;Kaplna;555495
88;SK0108555509;Zálesie;Zálesie;Zálesie;555509
89;SK0108582549;Novı Svet;Novı Svet;Novı Svet;582549
90;SK0211501433;Dunajská Streda;Dunajská Streda;Dunajská Streda;501433
91;SK0211501441;Báè;Báè;Báè;501441
92;SK0211501450;Baka;Baka;Baka;501450
93;SK0211501468;Baloò;Baloò;Baloò;501468
94;SK0211501484;Blahová;Blahová;Blahová;501484
95;SK0211501492;Blatná na Ostrove;Blatná na Ostrove;Blatná na Ostrove;501492
96;SK0211501506;Bohe¾ov;Bohe¾ov;Bohe¾ov;501506
97;SK0211501514;Èakany;Èakany;Èakany;501514
98;SK0211501522;Ve¾kı Meder;Ve¾kı Meder;Ve¾kı Meder;501522
99;SK0211501531;Èiliská Radvaò;Èiliská Radvaò;Èiliská Radvaò;501531
100;SK0211501549;Dobrohoš;Dobrohoš;Dobrohoš;501549
101;SK0211501557;Dolnı Bar;Dolnı Bar;Dolnı Bar;501557
102;SK0211501573;Gabèíkovo;Gabèíkovo;Gabèíkovo;501573
103;SK0211501581;Holice;Holice;Holice;501581
104;SK0211501590;Horná Potôò;Horná Potôò;Horná Potôò;501590
105;SK0211501603;Hornı Bar;Hornı Bar;Hornı Bar;501603
106;SK0211501611;Dolnı Štál;Dolnı Štál;Dolnı Štál;501611
107;SK0211501620;Hubice;Hubice;Hubice;501620
108;SK0211501638;Hviezdoslavov;Hviezdoslavov;Hviezdoslavov;501638
109;SK0211501654;Jahodná;Jahodná;Jahodná;501654
110;SK0211501662;Janíky;Janíky;Janíky;501662
111;SK0211501671;Jurová;Jurová;Jurová;501671
112;SK0211501689;K¾úèovec;K¾úèovec;K¾úèovec;501689
113;SK0211501697;Kostolné Kraèany;Kostolné Kraèany;Kostolné Kraèany;501697
114;SK0211501701;Krá¾ovièove Kraèany;Krá¾ovièove Kraèany;Krá¾ovièove Kraèany;501701
115;SK0211501719;Kútniky;Kútniky;Kútniky;501719
116;SK0211501727;Kvetoslavov;Kvetoslavov;Kvetoslavov;501727
117;SK0211501735;Lehnice;Lehnice;Lehnice;501735
118;SK0211501743;Lúè na Ostrove;Lúè na Ostrove;Lúè na Ostrove;501743
119;SK0211501760;Medveïov;Medveïov;Medveïov;501760
120;SK0211501778;Mierovo;Mierovo;Mierovo;501778
121;SK0211501786;Michal na Ostrove;Michal na Ostrove;Michal na Ostrove;501786
122;SK0211501808;Novı ivot;Novı ivot;Novı ivot;501808
123;SK0211501816;Ohrady;Ohrady;Ohrady;501816
124;SK0211501824;Okoè;Okoè;Okoè;501824
125;SK0211501832;O¾dza;O¾dza;O¾dza;501832
126;SK0211501859;Orechová Potôò;Orechová Potôò;Orechová Potôò;501859
127;SK0211501867;Padáò;Padáò;Padáò;501867
128;SK0211501875;Sap;Sap;Sap;501875
129;SK0211501883;Pataš;Pataš;Pataš;501883
130;SK0211501891;Rohovce;Rohovce;Rohovce;501891
131;SK0211501905;Šamorín;Šamorín;Šamorín;501905
132;SK0211501913;Štvrtok na Ostrove;Štvrtok na Ostrove;Štvrtok na Ostrove;501913
133;SK0211501921;Topo¾níky;Topo¾níky;Topo¾níky;501921
134;SK0211501930;Òárad;Òárad;Òárad;501930
135;SK0211501956;Trnávka;Trnávka;Trnávka;501956
136;SK0211501964;Trstená na Ostrove;Trstená na Ostrove;Trstená na Ostrove;501964
137;SK0211501972;Ve¾ká Paka;Ve¾ká Paka;Ve¾ká Paka;501972
138;SK0211501981;Ve¾ké Blahovo;Ve¾ké Blahovo;Ve¾ké Blahovo;501981
139;SK0211501999;Vojka nad Dunajom;Vojka nad Dunajom;Vojka nad Dunajom;501999
140;SK0211502006;Vrakúò;Vrakúò;Vrakúò;502006
141;SK0211502014;Vydrany;Vydrany;Vydrany;502014
142;SK0211502022;Zlaté Klasy;Zlaté Klasy;Zlaté Klasy;502022
143;SK0211503461;Bodíky;Bodíky;Bodíky;503461
144;SK0211555517;Bellova Ves;Bellova Ves;Bellova Ves;555517
145;SK0211555541;Dunajskı Klátov;Dunajskı Klátov;Dunajskı Klátov;555541
146;SK0211555568;Horné Mıto;Horné Mıto;Horné Mıto;555568
147;SK0211555576;Trhová Hradská;Trhová Hradská;Trhová Hradská;555576
148;SK0211555606;Macov;Macov;Macov;555606
149;SK0211555649;Mad;Mad;Mad;555649
150;SK0211555665;Malé Dvorníky;Malé Dvorníky;Malé Dvorníky;555665
151;SK0211555673;Ve¾ké Dvorníky;Ve¾ké Dvorníky;Ve¾ké Dvorníky;555673
152;SK0211555720;Povoda;Povoda;Povoda;555720
153;SK0211555746;Vieska;Vieska;Vieska;555746
154;SK0211580554;Èenkovce;Èenkovce;Èenkovce;580554
155;SK0211580597;Kyselica;Kyselica;Kyselica;580597
156;SK0211582522;Potônske Lúky;Potônske Lúky;Potônske Lúky;582522
157;SK0212503665;Galanta;Galanta;Galanta;503665
158;SK0212503673;Abrahám;Abrahám;Abrahám;503673
159;SK0212503690;Èierna Voda;Èierna Voda;Èierna Voda;503690
160;SK0212503703;Èierny Brod;Èierny Brod;Èierny Brod;503703
161;SK0212503746;Dolné Saliby;Dolné Saliby;Dolné Saliby;503746
162;SK0212503754;Dolnı Chotár;Dolnı Chotár;Dolnı Chotár;503754
163;SK0212503762;Gáò;Gáò;Gáò;503762
164;SK0212503771;Horné Saliby;Horné Saliby;Horné Saliby;503771
165;SK0212503789;Hoste;Hoste;Hoste;503789
166;SK0212503827;Jánovce;Jánovce;Jánovce;503827
167;SK0212503835;Jelka;Jelka;Jelka;503835
168;SK0212503843;Kajal;Kajal;Kajal;503843
169;SK0212503860;Košúty;Košúty;Košúty;503860
170;SK0212503878;Krá¾ov Brod;Krá¾ov Brod;Krá¾ov Brod;503878
171;SK0212503924;Mostová;Mostová;Mostová;503924
172;SK0212503959;Pata;Pata;Pata;503959
173;SK0212503967;Pusté Sady;Pusté Sady;Pusté Sady;503967
174;SK0212503975;Pusté Ú¾any;Pusté Ú¾any;Pusté Ú¾any;503975
175;SK0212504009;Sereï;Sereï;Sereï;504009
176;SK0212504017;Sládkovièovo;Sládkovièovo;Sládkovièovo;504017
177;SK0212504033;Šalgoèka;Šalgoèka;Šalgoèka;504033
178;SK0212504041;Šintava;Šintava;Šintava;504041
179;SK0212504050;Šoporòa;Šoporòa;Šoporòa;504050
180;SK0212504076;Tomášikovo;Tomášikovo;Tomášikovo;504076
181;SK0212504084;Topo¾nica;Topo¾nica;Topo¾nica;504084
182;SK0212504106;Trstice;Trstice;Trstice;504106
183;SK0212504114;Váhovce;Váhovce;Váhovce;504114
184;SK0212504122;Ve¾ká Maèa;Ve¾ká Maèa;Ve¾ká Maèa;504122
185;SK0212504131;Ve¾ké Ú¾any;Ve¾ké Ú¾any;Ve¾ké Ú¾any;504131
186;SK0212504149;Ve¾kı Grob;Ve¾kı Grob;Ve¾kı Grob;504149
187;SK0212504157;Vinohrady nad Váhom;Vinohrady nad Váhom;Vinohrady nad Váhom;504157
188;SK0212504173;Vozokany;Vozokany;Vozokany;504173
189;SK0212504181;Zemianske Sady;Zemianske Sady;Zemianske Sady;504181
190;SK0212555754;Matúškovo;Matúškovo;Matúškovo;555754
191;SK0212555789;Dolná Streda;Dolná Streda;Dolná Streda;555789
192;SK0212582638;Malá Maèa;Malá Maèa;Malá Maèa;582638
193;SK0213506800;Bojnièky;Bojnièky;Bojnièky;506800
194;SK0213506885;Èerveník;Èerveník;Èerveník;506885
195;SK0213506958;Dolné Otrokovce;Dolné Otrokovce;Dolné Otrokovce;506958
196;SK0213506966;Dolné Trhovište;Dolné Trhovište;Dolné Trhovište;506966
197;SK0213507024;Dvorníky;Dvorníky;Dvorníky;507024
198;SK0213507032;Hlohovec;Hlohovec;Hlohovec;507032
199;SK0213507075;Horné Otrokovce;Horné Otrokovce;Horné Otrokovce;507075
200;SK0213507130;Jalšové;Jalšové;Jalšové;507130
201;SK0213507172;K¾aèany;K¾aèany;K¾aèany;507172
202;SK0213507202;Koplotovce;Koplotovce;Koplotovce;507202
203;SK0213507253;Leopoldov;Leopoldov;Leopoldov;507253
204;SK0213507288;Madunice;Madunice;Madunice;507288
205;SK0213507326;Merašice;Merašice;Merašice;507326
206;SK0213507415;Pastuchov;Pastuchov;Pastuchov;507415
207;SK0213507521;Sasinkovo;Sasinkovo;Sasinkovo;507521
208;SK0213507539;Siladice;Siladice;Siladice;507539
209;SK0213507661;Trakovice;Trakovice;Trakovice;507661
210;SK0213507792;lkovce;lkovce;lkovce;507792
211;SK0213518620;Ratkovce;Ratkovce;Ratkovce;518620
212;SK0213556521;Dolné Zelenice;Dolné Zelenice;Dolné Zelenice;556521
213;SK0213556530;Horné Zelenice;Horné Zelenice;Horné Zelenice;556530
214;SK0213556602;Horné Trhovište;Horné Trhovište;Horné Trhovište;556602
215;SK0213556611;Tekolïany;Tekolïany;Tekolïany;556611
216;SK0213556645;Teplièky;Teplièky;Teplièky;556645
217;SK0214506834;Borovce;Borovce;Borovce;506834
218;SK0214506982;Dolnı Lopašov;Dolnı Lopašov;Dolnı Lopašov;506982
219;SK0214506991;Drahovce;Drahovce;Drahovce;506991
220;SK0214507008;Dubovany;Dubovany;Dubovany;507008
221;SK0214507121;Chtelnica;Chtelnica;Chtelnica;507121
222;SK0214507199;Koèín-Lanèár;Koèín-Lanèár;Koèín-Lanèár;507199
223;SK0214507229;Krakovany;Krakovany;Krakovany;507229
224;SK0214507342;Moravany nad Váhom;Moravany nad Váhom;Moravany nad Váhom;507342
225;SK0214507369;Niná;Niná;Niná;507369
226;SK0214507385;Ostrov;Ostrov;Ostrov;507385
227;SK0214507431;Peèeòady;Peèeòady;Peèeòady;507431
228;SK0214507440;Piešany;Piešany;Piešany;507440
229;SK0214507466;Prašník;Prašník;Prašník;507466
230;SK0214507482;Rakovice;Rakovice;Rakovice;507482
231;SK0214507491;Ratnovce;Ratnovce;Ratnovce;507491
232;SK0214507563;Sokolovce;Sokolovce;Sokolovce;507563
233;SK0214507679;Trebatice;Trebatice;Trebatice;507679
234;SK0214507709;Ve¾ké Kosto¾any;Ve¾ké Kosto¾any;Ve¾ké Kosto¾any;507709
235;SK0214507725;Veselé;Veselé;Veselé;507725
236;SK0214507750;Vrbové;Vrbové;Vrbové;507750
237;SK0214556548;Šterusy;Šterusy;Šterusy;556548
238;SK0214556572;Ve¾ké Orvište;Ve¾ké Orvište;Ve¾ké Orvište;556572
239;SK0214556581;Hubina;Hubina;Hubina;556581
240;SK0214558338;Ducové;Ducové;Ducové;558338
241;SK0214558354;Bašovce;Bašovce;Bašovce;558354
242;SK0214558397;Šípkové;Šípkové;Šípkové;558397
243;SK0214581399;Banka;Banka;Banka;581399
244;SK0215504203;Senica;Senica;Senica;504203
245;SK0215504211;Bílkove Humence;Bílkove Humence;Bílkove Humence;504211
246;SK0215504220;Borskı Svätı Jur;Borskı Svätı Jur;Borskı Svätı Jur;504220
247;SK0215504238;Borskı Mikuláš;Borskı Mikuláš;Borskı Mikuláš;504238
248;SK0215504297;Cerová;Cerová;Cerová;504297
249;SK0215504319;Èáry;Èáry;Èáry;504319
250;SK0215504327;Èastkov;Èastkov;Èastkov;504327
251;SK0215504335;Dojè;Dojè;Dojè;504335
252;SK0215504360;Hlboké;Hlboké;Hlboké;504360
253;SK0215504386;Hradište pod Vrátnom;Hradište pod Vrátnom;Hradište pod Vrátnom;504386
254;SK0215504416;Jablonica;Jablonica;Jablonica;504416
255;SK0215504475;Koválov;Koválov;Koválov;504475
256;SK0215504491;Kuklov;Kuklov;Kuklov;504491
257;SK0215504513;Kúty;Kúty;Kúty;504513
258;SK0215504521;Lakšárska Nová Ves;Lakšárska Nová Ves;Lakšárska Nová Ves;504521
259;SK0215504572;Moravskı Svätı Ján;Moravskı Svätı Ján;Moravskı Svätı Ján;504572
260;SK0215504602;Osuské;Osuské;Osuské;504602
261;SK0215504645;Plaveckı Peter;Plaveckı Peter;Plaveckı Peter;504645
262;SK0215504653;Podbranè;Podbranè;Podbranè;504653
263;SK0215504700;Prietr;Prietr;Prietr;504700
264;SK0215504726;Prievaly;Prievaly;Prievaly;504726
265;SK0215504777;Rovensko;Rovensko;Rovensko;504777
266;SK0215504823;Smolinské;Smolinské;Smolinské;504823
267;SK0215504831;Smrdáky;Smrdáky;Smrdáky;504831
268;SK0215504840;Sobotište;Sobotište;Sobotište;504840
269;SK0215504882;Šajdíkove Humence;Šajdíkove Humence;Šajdíkove Humence;504882
270;SK0215504891;Šaštín-Stráe;Šaštín-Stráe;Šaštín-Stráe;504891
271;SK0215504904;Štefanov;Štefanov;Štefanov;504904
272;SK0215556114;Sekule;Sekule;Sekule;556114
273;SK0215556122;Rohov;Rohov;Rohov;556122
274;SK0215556131;Rybky;Rybky;Rybky;556131
275;SK0216504271;Brodské;Brodské;Brodské;504271
276;SK0216504343;Dubovce;Dubovce;Dubovce;504343
277;SK0216504351;Gbely;Gbely;Gbely;504351
278;SK0216504378;Holíè;Holíè;Holíè;504378
279;SK0216504394;Chropov;Chropov;Chropov;504394
280;SK0216504432;Kátov;Kátov;Kátov;504432
281;SK0216504459;Kopèany;Kopèany;Kopèany;504459
282;SK0216504483;Koválovec;Koválovec;Koválovec;504483
283;SK0216504530;Letnièie;Letnièie;Letnièie;504530
284;SK0216504548;Lopašov;Lopašov;Lopašov;504548
285;SK0216504564;Mokrı Háj;Mokrı Háj;Mokrı Háj;504564
286;SK0216504599;Oreské;Oreské;Oreské;504599
287;SK0216504611;Petrova Ves;Petrova Ves;Petrova Ves;504611
288;SK0216504670;Popudinské Moèid¾any;Popudinské Moèid¾any;Popudinské Moèid¾any;504670
289;SK0216504718;Prietrka;Prietrka;Prietrka;504718
290;SK0216504734;Radimov;Radimov;Radimov;504734
291;SK0216504742;Radošovce;Radošovce;Radošovce;504742
292;SK0216504815;Skalica;Skalica;Skalica;504815
293;SK0216504912;Trnovec;Trnovec;Trnovec;504912
294;SK0216504939;Unín;Unín;Unín;504939
295;SK0216504963;Vrádište;Vrádište;Vrádište;504963
296;SK0217506745;Trnava;Trnava;Trnava;506745
297;SK0217506788;Bíòovce;Bíòovce;Bíòovce;506788
298;SK0217506796;Bohdanovce nad Trnavou;Bohdanovce nad Trnavou;Bohdanovce nad Trnavou;506796
299;SK0217506818;Boleráz;Boleráz;Boleráz;506818
300;SK0217506826;Borová;Borová;Borová;506826
301;SK0217506842;Brestovany;Brestovany;Brestovany;506842
302;SK0217506851;Buèany;Buèany;Buèany;506851
303;SK0217506869;Buková;Buková;Buková;506869
304;SK0217506877;Cífer;Cífer;Cífer;506877
305;SK0217506893;Dechtice;Dechtice;Dechtice;506893
306;SK0217506915;Dobrá Voda;Dobrá Voda;Dobrá Voda;506915
307;SK0217506923;Dolná Krupá;Dolná Krupá;Dolná Krupá;506923
308;SK0217506931;Dolné Dubové;Dolné Dubové;Dolné Dubové;506931
309;SK0217506940;Dolné Orešany;Dolné Orešany;Dolné Orešany;506940
310;SK0217507041;Horná Krupá;Horná Krupá;Horná Krupá;507041
311;SK0217507059;Horné Dubové;Horné Dubové;Horné Dubové;507059
312;SK0217507067;Horné Orešany;Horné Orešany;Horné Orešany;507067
313;SK0217507156;Jaslovské Bohunice;Jaslovské Bohunice;Jaslovské Bohunice;507156
314;SK0217507164;Kátlovce;Kátlovce;Kátlovce;507164
315;SK0217507211;Košolná;Košolná;Košolná;507211
316;SK0217507296;Majcichov;Majcichov;Majcichov;507296
317;SK0217507318;Malenice;Malenice;Malenice;507318
318;SK0217507351;Naháè;Naháè;Naháè;507351
319;SK0217507512;Ruindol;Ruindol;Ruindol;507512
320;SK0217507555;Smolenice;Smolenice;Smolenice;507555
321;SK0217507571;Suchá nad Parnou;Suchá nad Parnou;Suchá nad Parnou;507571
