sortNumber;code;officialTitle;mediumTitle;shortTitle;note
322;SK0217507601;Špaèince;Špaèince;Špaèince;507601
323;SK0217507636;Šúrovce;Šúrovce;Šúrovce;507636
324;SK0217507687;Trstín;Trstín;Trstín;507687
325;SK0217507741;Voderady;Voderady;Voderady;507741
326;SK0217507768;Zavar;Zavar;Zavar;507768
327;SK0217507776;Zeleneè;Zeleneè;Zeleneè;507776
328;SK0217556483;Kriovany nad Dudváhom;Kriovany nad Dudváhom;Kriovany nad Dudváhom;556483
329;SK0217556491;Opoj;Opoj;Opoj;556491
330;SK0217556513;Vlèkovce;Vlèkovce;Vlèkovce;556513
331;SK0217556556;Pavlice;Pavlice;Pavlice;556556
332;SK0217556564;Slovenská Nová Ves;Slovenská Nová Ves;Slovenská Nová Ves;556564
333;SK0217556599;Dlhá;Dlhá;Dlhá;556599
334;SK0217556653;Radošovce;Radošovce;Radošovce;556653
335;SK0217556661;Dolné Lovèice;Dolné Lovèice;Dolné Lovèice;556661
336;SK0217556670;Šelpice;Šelpice;Šelpice;556670
337;SK0217556688;Lošonec;Lošonec;Lošonec;556688
338;SK0217580473;Biely Kostol;Biely Kostol;Biely Kostol;580473
339;SK0217581020;Hrnèiarovce nad Parnou;Hrnèiarovce nad Parnou;Hrnèiarovce nad Parnou;581020
340;SK0217581488;Zvonèín;Zvonèín;Zvonèín;581488
341;SK0221505056;¼utov;¼utov;¼utov;505056
342;SK0221505072;Malá Hradná;Malá Hradná;Malá Hradná;505072
343;SK0221505102;Malé Hoste;Malé Hoste;Malé Hoste;505102
344;SK0221505153;Miezgovce;Miezgovce;Miezgovce;505153
345;SK0221505200;Nedašovce;Nedašovce;Nedašovce;505200
346;SK0221505277;Omastiná;Omastiná;Omastiná;505277
347;SK0221505331;Peèeòany;Peèeòany;Peèeòany;505331
348;SK0221505358;Podluany;Podluany;Podluany;505358
349;SK0221505382;Pravotice;Pravotice;Pravotice;505382
350;SK0221505412;Prusy;Prusy;Prusy;505412
351;SK0221505447;Ruskovce;Ruskovce;Ruskovce;505447
352;SK0221505455;Rybany;Rybany;Rybany;505455
353;SK0221505471;Slatina nad Bebravou;Slatina nad Bebravou;Slatina nad Bebravou;505471
354;SK0221505480;Slatinka nad Bebravou;Slatinka nad Bebravou;Slatinka nad Bebravou;505480
355;SK0221505544;Šípkov;Šípkov;Šípkov;505544
356;SK0221505552;Šišov;Šišov;Šišov;505552
357;SK0221505579;Timoradza;Timoradza;Timoradza;505579
358;SK0221505595;Trebichava;Trebichava;Trebichava;505595
359;SK0221505625;Uhrovec;Uhrovec;Uhrovec;505625
360;SK0221505633;Uhrovské Podhradie;Uhrovské Podhradie;Uhrovské Podhradie;505633
361;SK0221505684;Ve¾ké Hoste;Ve¾ké Hoste;Ve¾ké Hoste;505684
362;SK0221505692;Ve¾ké Chlievany;Ve¾ké Chlievany;Ve¾ké Chlievany;505692
363;SK0221505765;Vysoèany;Vysoèany;Vysoèany;505765
